protocol,gen_time_ms_mean,classical_security_bits,post_quantum_security_bits,quantum_threat
BB84,7173.3385,128,128,Quantum-native secure
E91,0.1414,64,64,Quantum-native secure
DH,0.0015,9,0,Broken (Shor's)
ECC,0.0215,7,0,Broken (Shor's)
RSA-2048,46.8423,2048,0,Broken (Shor's)
AES-128,0.0124,128,64,Weakened (Grover's)
AES-256,0.0122,256,128,Quantum resistant
SHA-256,0.0033,256,128,Weakened (Grover's)
