protocol,key_bits,plaintext_bytes,seed,enc_ms,dec_ms,classical_security,post_grover_security
AES-128,128,128,48,0.0109,0.0091,128,64
AES-128,128,128,49,0.0108,0.0089,128,64
AES-256,256,128,0,0.0275,0.0117,256,128
AES-256,256,128,1,0.0126,0.0095,256,128
AES-256,256,128,2,0.0115,0.009,256,128
AES-256,256,128,3,0.0111,0.0092,256,128
AES-256,256,128,4,0.0112,0.0092,256,128
AES-256,256,128,5,0.0112,0.0091,256,128
AES-256,256,128,6,0.011,0.009,256,128
AES-256,256,128,7,0.0119,0.0094,256,128
AES-256,256,128,8,0.0114,0.0091,256,128
AES-256,256,128,9,0.0111,0.0089,256,128
AES-256,256,128,10,0.0141,0.0096,256,128
AES-256,256,128,11,0.0115,0.0091,256,128
AES-256,256,128,12,0.0111,0.0089,256,128
AES-256,256,128,13,0.011,0.009,256,128
AES-256,256,128,14,0.011,0.0092,256,128
AES-256,256,128,15,0.0111,0.0088,256,128
AES-256,256,128,16,0.0111,0.0089,256,128
AES-256,256,128,17,0.0112,0.009,256,128
AES-256,256,128,18,0.0111,0.0089,256,128
AES-256,256,128,19,0.0112,0.0089,256,128
AES-256,256,128,20,0.0112,0.0091,256,128
AES-256,256,128,21,0.0111,0.009,256,128
AES-256,256,128,22,0.0111,0.009,256,128
AES-256,256,128,23,0.0114,0.009,256,128
AES-256,256,128,24,0.0111,0.0091,256,128
AES-256,256,128,25,0.0111,0.009,256,128
AES-256,256,128,26,0.0112,0.0089,256,128
AES-256,256,128,27,0.0112,0.0092,256,128
AES-256,256,128,28,0.0111,0.0089,256,128
AES-256,256,128,29,0.0111,0.009,256,128
AES-256,256,128,30,0.0112,0.0091,256,128
AES-256,256,128,31,0.011,0.009,256,128
AES-256,256,128,32,0.0111,0.0091,256,128
AES-256,256,128,33,0.0111,0.009,256,128
AES-256,256,128,34,0.0111,0.009,256,128
AES-256,256,128,35,0.011,0.009,256,128
AES-256,256,128,36,0.0111,0.0092,256,128
AES-256,256,128,37,0.011,0.009,256,128
AES-256,256,128,38,0.0111,0.009,256,128
AES-256,256,128,39,0.0111,0.0091,256,128
AES-256,256,128,40,0.011,0.0089,256,128
AES-256,256,128,41,0.0272,0.0106,256,128
AES-256,256,128,42,0.0116,0.0091,256,128
AES-256,256,128,43,0.0116,0.0091,256,128
AES-256,256,128,44,0.0115,0.0092,256,128
AES-256,256,128,45,0.0113,0.009,256,128
AES-256,256,128,46,0.0111,0.0091,256,128
AES-256,256,128,47,0.0112,0.0091,256,128
AES-256,256,128,48,0.0111,0.0091,256,128
AES-256,256,128,49,0.0112,0.0092,256,128
