protocol,n_qubits,seed,eve,qber,key_length
BB84,16,36,False,0.0,7
BB84,16,37,True,16.667,6
BB84,16,37,False,0.0,6
BB84,16,38,True,25.0,8
BB84,16,38,False,0.0,8
BB84,16,39,True,50.0,6
BB84,16,39,False,0.0,6
BB84,16,40,True,33.333,6
BB84,16,40,False,0.0,6
BB84,16,41,True,18.182,11
BB84,16,41,False,0.0,11
BB84,16,42,True,27.273,11
BB84,16,42,False,0.0,11
BB84,16,43,True,33.333,9
BB84,16,43,False,0.0,9
BB84,16,44,True,27.273,11
BB84,16,44,False,0.0,11
BB84,16,45,True,18.182,11
BB84,16,45,False,0.0,11
BB84,16,46,True,20.0,5
BB84,16,46,False,0.0,5
BB84,16,47,True,11.111,9
BB84,16,47,False,0.0,9
BB84,16,48,True,0.0,9
BB84,16,48,False,0.0,9
BB84,16,49,True,28.571,7
BB84,16,49,False,0.0,7
BB84,32,0,True,13.636,22
BB84,32,0,False,0.0,22
BB84,32,1,True,27.778,18
BB84,32,1,False,0.0,18
BB84,32,2,True,10.0,20
BB84,32,2,False,0.0,20
BB84,32,3,True,11.765,17
BB84,32,3,False,0.0,17
BB84,32,4,True,26.667,15
BB84,32,4,False,0.0,15
BB84,32,5,True,18.182,11
BB84,32,5,False,0.0,11
BB84,32,6,True,25.0,16
BB84,32,6,False,0.0,16
BB84,32,7,True,15.0,20
BB84,32,7,False,0.0,20
BB84,32,8,True,17.647,17
BB84,32,8,False,0.0,17
BB84,32,9,True,16.667,12
BB84,32,9,False,0.0,12
BB84,32,10,True,30.769,13
BB84,32,10,False,0.0,13
BB84,32,11,True,14.286,14
BB84,32,11,False,0.0,14
BB84,32,12,True,35.714,14
BB84,32,12,False,0.0,14
BB84,32,13,True,27.778,18
BB84,32,13,False,0.0,18
BB84,32,14,True,38.889,18
BB84,32,14,False,0.0,18
BB84,32,15,True,20.0,20
BB84,32,15,False,0.0,20
BB84,32,16,True,27.778,18
BB84,32,16,False,0.0,18
BB84,32,17,True,36.842,19
BB84,32,17,False,0.0,19
BB84,32,18,True,23.81,21
BB84,32,18,False,0.0,21
BB84,32,19,True,23.077,13
BB84,32,19,False,0.0,13
BB84,32,20,True,13.333,15
BB84,32,20,False,0.0,15
BB84,32,21,True,38.889,18
BB84,32,21,False,0.0,18
BB84,32,22,True,38.889,18
BB84,32,22,False,0.0,18
BB84,32,23,True,27.273,11
BB84,32,23,False,0.0,11
BB84,32,24,True,42.857,14
BB84,32,24,False,0.0,14
BB84,32,25,True,20.0,15
BB84,32,25,False,0.0,15
BB84,32,26,True,9.524,21
BB84,32,26,False,0.0,21
BB84,32,27,True,38.889,18
BB84,32,27,False,0.0,18
BB84,32,28,True,35.294,17
BB84,32,28,False,0.0,17
BB84,32,29,True,26.316,19
BB84,32,29,False,0.0,19
BB84,32,30,True,33.333,15
BB84,32,30,False,0.0,15
BB84,32,31,True,10.526,19
BB84,32,31,False,0.0,19
BB84,32,32,True,21.429,14
BB84,32,32,False,0.0,14
BB84,32,33,True,18.75,16
BB84,32,33,False,0.0,16
BB84,32,34,True,22.222,18
BB84,32,34,False,0.0,18
BB84,32,35,True,23.529,17
BB84,32,35,False,0.0,17
BB84,32,36,True,20.0,15
BB84,32,36,False,0.0,15
BB84,32,37,True,11.765,17
BB84,32,37,False,0.0,17
BB84,32,38,True,19.048,21
BB84,32,38,False,0.0,21
BB84,32,39,True,31.25,16
BB84,32,39,False,0.0,16
BB84,32,40,True,14.286,14
BB84,32,40,False,0.0,14
BB84,32,41,True,23.529,17
BB84,32,41,False,0.0,17
BB84,32,42,True,0.0,13
BB84,32,42,False,0.0,13
BB84,32,43,True,20.0,15
BB84,32,43,False,0.0,15
BB84,32,44,True,46.154,13
BB84,32,44,False,0.0,13
BB84,32,45,True,15.385,13
BB84,32,45,False,0.0,13
BB84,32,46,True,35.294,17
BB84,32,46,False,0.0,17
BB84,32,47,True,18.182,22
BB84,32,47,False,0.0,22
BB84,32,48,True,0.0,9
BB84,32,48,False,0.0,9
BB84,32,49,True,30.769,13
BB84,32,49,False,0.0,13
BB84,64,0,True,18.182,33
BB84,64,0,False,0.0,33
BB84,64,1,True,12.5,32
BB84,64,1,False,0.0,32
BB84,64,2,True,27.778,36
BB84,64,2,False,0.0,36
BB84,64,3,True,20.0,30
BB84,64,3,False,0.0,30
BB84,64,4,True,28.571,28
BB84,64,4,False,0.0,28
BB84,64,5,True,26.667,30
BB84,64,5,False,0.0,30
BB84,64,6,True,27.027,37
BB84,64,6,False,0.0,37
BB84,64,7,True,28.125,32
BB84,64,7,False,0.0,32
BB84,64,8,True,36.364,22
BB84,64,8,False,0.0,22
BB84,64,9,True,20.0,30
BB84,64,9,False,0.0,30
BB84,64,10,True,28.571,42
BB84,64,10,False,0.0,42
BB84,64,11,True,23.529,34
BB84,64,11,False,0.0,34
BB84,64,12,True,29.63,27
BB84,64,12,False,0.0,27
BB84,64,13,True,26.667,30
BB84,64,13,False,0.0,30
BB84,64,14,True,24.242,33
BB84,64,14,False,0.0,33
BB84,64,15,True,30.303,33
BB84,64,15,False,0.0,33
BB84,64,16,True,13.043,23
BB84,64,16,False,0.0,23
BB84,64,17,True,27.586,29
BB84,64,17,False,0.0,29
BB84,64,18,True,13.333,30
BB84,64,18,False,0.0,30
BB84,64,19,True,27.273,33
