protocol,prime_idx,prime,key_bits,seed,attack_steps,attack_time_ms,keygen_time_ms
DH,2,59,6,20,14,0.0073,0.0019
DH,2,59,6,21,9,0.0057,0.0017
DH,2,59,6,22,9,0.0056,0.0015
DH,2,59,6,23,14,0.0068,0.0017
DH,2,59,6,24,13,0.0068,0.002
DH,2,59,6,25,11,0.0058,0.0017
DH,2,59,6,26,14,0.007,0.0017
DH,2,59,6,27,13,0.0066,0.0017
DH,2,59,6,28,9,0.0056,0.0016
DH,2,59,6,29,12,0.0062,0.0015
DH,2,59,6,30,12,0.0068,0.002
DH,2,59,6,31,8,0.0035,0.0012
DH,2,59,6,32,8,0.0021,0.0008
DH,2,59,6,33,12,0.0021,0.0009
DH,2,59,6,34,12,0.002,0.0008
DH,2,59,6,35,12,0.002,0.0009
DH,2,59,6,36,10,0.0017,0.0008
DH,2,59,6,37,13,0.002,0.0009
DH,2,59,6,38,13,0.0019,0.0009
DH,2,59,6,39,9,0.0016,0.0007
DH,2,59,6,40,11,0.0017,0.0011
DH,2,59,6,41,11,0.0018,0.0008
DH,2,59,6,42,13,0.0019,0.0009
DH,2,59,6,43,8,0.0016,0.0007
DH,2,59,6,44,11,0.0026,0.0008
DH,2,59,6,45,10,0.0018,0.0009
DH,2,59,6,46,8,0.0016,0.0007
DH,2,59,6,47,11,0.002,0.0006
DH,2,59,6,48,12,0.0019,0.0009
DH,2,59,6,49,8,0.0017,0.0006
DH,3,83,7,0,15,0.005,0.0018
DH,3,83,7,1,11,0.0028,0.0011
DH,3,83,7,2,10,0.0021,0.0008
DH,3,83,7,3,13,0.0024,0.001
DH,3,83,7,4,13,0.0023,0.0009
DH,3,83,7,5,18,0.0027,0.001
DH,3,83,7,6,17,0.0027,0.0009
DH,3,83,7,7,14,0.0023,0.001
DH,3,83,7,8,13,0.0022,0.0011
DH,3,83,7,9,16,0.0025,0.0011
DH,3,83,7,10,17,0.0026,0.0009
DH,3,83,7,11,15,0.0023,0.0011
DH,3,83,7,12,16,0.0024,0.001
DH,3,83,7,13,13,0.0022,0.0011
DH,3,83,7,14,11,0.0021,0.0009
DH,3,83,7,15,12,0.0025,0.0009
DH,3,83,7,16,14,0.0023,0.0011
DH,3,83,7,17,16,0.0027,0.0011
DH,3,83,7,18,12,0.0022,0.0008
DH,3,83,7,19,10,0.002,0.0009
DH,3,83,7,20,12,0.0021,0.0009
DH,3,83,7,21,12,0.0022,0.0011
DH,3,83,7,22,11,0.0019,0.0008
DH,3,83,7,23,13,0.0022,0.0009
DH,3,83,7,24,15,0.0022,0.001
DH,3,83,7,25,15,0.0023,0.0008
DH,3,83,7,26,12,0.0021,0.0008
DH,3,83,7,27,16,0.0023,0.0011
DH,3,83,7,28,11,0.002,0.0007
DH,3,83,7,29,17,0.0028,0.0009
DH,3,83,7,30,17,0.0024,0.001
DH,3,83,7,31,10,0.0018,0.0008
DH,3,83,7,32,11,0.0019,0.0009
DH,3,83,7,33,17,0.0024,0.0009
DH,3,83,7,34,16,0.0024,0.001
DH,3,83,7,35,17,0.0024,0.0009
DH,3,83,7,36,14,0.0021,0.0009
DH,3,83,7,37,17,0.0023,0.001
DH,3,83,7,38,15,0.0022,0.001
DH,3,83,7,39,12,0.002,0.0009
DH,3,83,7,40,16,0.0023,0.001
DH,3,83,7,41,15,0.0022,0.0009
DH,3,83,7,42,11,0.0024,0.0007
DH,3,83,7,43,10,0.0018,0.0008
DH,3,83,7,44,15,0.0021,0.0009
DH,3,83,7,45,13,0.002,0.001
DH,3,83,7,46,11,0.0019,0.0009
DH,3,83,7,47,14,0.002,0.001
DH,3,83,7,48,17,0.0024,0.0008
DH,3,83,7,49,11,0.0018,0.0009
DH,4,107,7,0,15,0.006,0.0018
DH,4,107,7,1,12,0.0031,0.0009
DH,4,107,7,2,11,0.0026,0.0008
