protocol,key_bits,plaintext_bytes,seed,enc_ms,dec_ms,classical_security,post_grover_security
AES-256,256,128,34,0.0149,0.0123,256,128
AES-256,256,128,35,0.0151,0.0124,256,128
AES-256,256,128,36,0.015,0.0123,256,128
AES-256,256,128,37,0.015,0.0123,256,128
AES-256,256,128,38,0.0151,0.0122,256,128
AES-256,256,128,39,0.015,0.0124,256,128
AES-256,256,128,40,0.015,0.0125,256,128
AES-256,256,128,41,0.0145,0.01,256,128
AES-256,256,128,42,0.0118,0.0094,256,128
AES-256,256,128,43,0.0116,0.0092,256,128
AES-256,256,128,44,0.0114,0.009,256,128
AES-256,256,128,45,0.0114,0.009,256,128
AES-256,256,128,46,0.0112,0.009,256,128
AES-256,256,128,47,0.0113,0.009,256,128
AES-256,256,128,48,0.0114,0.009,256,128
AES-256,256,128,49,0.0112,0.009,256,128
AES-128,128,512,0,0.0661,0.0369,128,64
AES-128,128,512,1,0.0212,0.0141,128,64
AES-128,128,512,2,0.0166,0.013,128,64
AES-128,128,512,3,0.0163,0.0131,128,64
AES-128,128,512,4,0.0159,0.0126,128,64
AES-128,128,512,5,0.0158,0.0127,128,64
AES-128,128,512,6,0.0156,0.0127,128,64
AES-128,128,512,7,0.0156,0.0125,128,64
AES-128,128,512,8,0.0155,0.0127,128,64
AES-128,128,512,9,0.0159,0.0127,128,64
AES-128,128,512,10,0.0155,0.0127,128,64
AES-128,128,512,11,0.0156,0.0126,128,64
AES-128,128,512,12,0.0156,0.0128,128,64
AES-128,128,512,13,0.0154,0.0126,128,64
AES-128,128,512,14,0.0156,0.0128,128,64
AES-128,128,512,15,0.0156,0.0126,128,64
AES-128,128,512,16,0.0156,0.0126,128,64
AES-128,128,512,17,0.0155,0.0128,128,64
AES-128,128,512,18,0.0156,0.0128,128,64
AES-128,128,512,19,0.0156,0.0127,128,64
AES-128,128,512,20,0.0163,0.0132,128,64
AES-128,128,512,21,0.0157,0.0127,128,64
AES-128,128,512,22,0.0158,0.0128,128,64
AES-128,128,512,23,0.0157,0.0127,128,64
AES-128,128,512,24,0.0155,0.0127,128,64
AES-128,128,512,25,0.0157,0.0127,128,64
AES-128,128,512,26,0.0155,0.0127,128,64
AES-128,128,512,27,0.0157,0.0127,128,64
AES-128,128,512,28,0.0154,0.0126,128,64
AES-128,128,512,29,0.0158,0.0128,128,64
AES-128,128,512,30,0.0157,0.0127,128,64
AES-128,128,512,31,0.0158,0.0128,128,64
AES-128,128,512,32,0.0158,0.0127,128,64
AES-128,128,512,33,0.0156,0.013,128,64
AES-128,128,512,34,0.0157,0.0129,128,64
AES-128,128,512,35,0.0155,0.0128,128,64
AES-128,128,512,36,0.0155,0.0128,128,64
AES-128,128,512,37,0.0156,0.0128,128,64
AES-128,128,512,38,0.0156,0.0239,128,64
AES-128,128,512,39,0.0141,0.0098,128,64
AES-128,128,512,40,0.0123,0.0096,128,64
AES-128,128,512,41,0.0119,0.0097,128,64
AES-128,128,512,42,0.0119,0.0095,128,64
AES-128,128,512,43,0.0121,0.0095,128,64
AES-128,128,512,44,0.0122,0.0094,128,64
AES-128,128,512,45,0.0121,0.0094,128,64
AES-128,128,512,46,0.012,0.0095,128,64
AES-128,128,512,47,0.0119,0.0094,128,64
AES-128,128,512,48,0.0119,0.0093,128,64
AES-128,128,512,49,0.0122,0.0095,128,64
AES-256,256,512,0,0.0304,0.0147,256,128
AES-256,256,512,1,0.0155,0.0115,256,128
AES-256,256,512,2,0.0138,0.0107,256,128
AES-256,256,512,3,0.0135,0.0108,256,128
