protocol,input_bytes,seed,hash_ms,classical_preimage_bits,post_grover_preimage_bits,classical_collision_bits,post_grover_collision_bits
SHA-256,1024,18,0.0031,256,128,128,85
SHA-256,1024,19,0.0031,256,128,128,85
SHA-256,1024,20,0.0031,256,128,128,85
SHA-256,1024,21,0.0031,256,128,128,85
SHA-256,1024,22,0.003,256,128,128,85
SHA-256,1024,23,0.0031,256,128,128,85
SHA-256,1024,24,0.0031,256,128,128,85
SHA-256,1024,25,0.0032,256,128,128,85
SHA-256,1024,26,0.0034,256,128,128,85
SHA-256,1024,27,0.0031,256,128,128,85
SHA-256,1024,28,0.0031,256,128,128,85
SHA-256,1024,29,0.0032,256,128,128,85
SHA-256,1024,30,0.0031,256,128,128,85
SHA-256,1024,31,0.0031,256,128,128,85
SHA-256,1024,32,0.0031,256,128,128,85
SHA-256,1024,33,0.0031,256,128,128,85
SHA-256,1024,34,0.0031,256,128,128,85
SHA-256,1024,35,0.0031,256,128,128,85
SHA-256,1024,36,0.0031,256,128,128,85
SHA-256,1024,37,0.0031,256,128,128,85
SHA-256,1024,38,0.0031,256,128,128,85
SHA-256,1024,39,0.0031,256,128,128,85
SHA-256,1024,40,0.0031,256,128,128,85
SHA-256,1024,41,0.0031,256,128,128,85
SHA-256,1024,42,0.0031,256,128,128,85
SHA-256,1024,43,0.0032,256,128,128,85
SHA-256,1024,44,0.0031,256,128,128,85
SHA-256,1024,45,0.0033,256,128,128,85
SHA-256,1024,46,0.0031,256,128,128,85
SHA-256,1024,47,0.0031,256,128,128,85
SHA-256,1024,48,0.0031,256,128,128,85
SHA-256,1024,49,0.0032,256,128,128,85
SHA-256,4096,0,0.0135,256,128,128,85
SHA-256,4096,1,0.0099,256,128,128,85
SHA-256,4096,2,0.0095,256,128,128,85
SHA-256,4096,3,0.0095,256,128,128,85
SHA-256,4096,4,0.0095,256,128,128,85
SHA-256,4096,5,0.0094,256,128,128,85
SHA-256,4096,6,0.0095,256,128,128,85
SHA-256,4096,7,0.0094,256,128,128,85
SHA-256,4096,8,0.0093,256,128,128,85
SHA-256,4096,9,0.0094,256,128,128,85
SHA-256,4096,10,0.0094,256,128,128,85
SHA-256,4096,11,0.0094,256,128,128,85
SHA-256,4096,12,0.0094,256,128,128,85
SHA-256,4096,13,0.0094,256,128,128,85
SHA-256,4096,14,0.0095,256,128,128,85
SHA-256,4096,15,0.0099,256,128,128,85
SHA-256,4096,16,0.0094,256,128,128,85
SHA-256,4096,17,0.0094,256,128,128,85
SHA-256,4096,18,0.0094,256,128,128,85
SHA-256,4096,19,0.0094,256,128,128,85
SHA-256,4096,20,0.0093,256,128,128,85
SHA-256,4096,21,0.0093,256,128,128,85
SHA-256,4096,22,0.0094,256,128,128,85
SHA-256,4096,23,0.0094,256,128,128,85
SHA-256,4096,24,0.0094,256,128,128,85
SHA-256,4096,25,0.0093,256,128,128,85
SHA-256,4096,26,0.0093,256,128,128,85
SHA-256,4096,27,0.0093,256,128,128,85
SHA-256,4096,28,0.0094,256,128,128,85
SHA-256,4096,29,0.0093,256,128,128,85
SHA-256,4096,30,0.0093,256,128,128,85
SHA-256,4096,31,0.0093,256,128,128,85
SHA-256,4096,32,0.0093,256,128,128,85
SHA-256,4096,33,0.0093,256,128,128,85
SHA-256,4096,34,0.0096,256,128,128,85
SHA-256,4096,35,0.0093,256,128,128,85
SHA-256,4096,36,0.0094,256,128,128,85
SHA-256,4096,37,0.0093,256,128,128,85
SHA-256,4096,38,0.0094,256,128,128,85
SHA-256,4096,39,0.0093,256,128,128,85
SHA-256,4096,40,0.0093,256,128,128,85
SHA-256,4096,41,0.0093,256,128,128,85
SHA-256,4096,42,0.0094,256,128,128,85
SHA-256,4096,43,0.0093,256,128,128,85
SHA-256,4096,44,0.0093,256,128,128,85
SHA-256,4096,45,0.0093,256,128,128,85
SHA-256,4096,46,0.0093,256,128,128,85
SHA-256,4096,47,0.0093,256,128,128,85
SHA-256,4096,48,0.0094,256,128,128,85
SHA-256,4096,49,0.0094,256,128,128,85
SHA-256,16384,0,0.0393,256,128,128,85
